koi_period,koi_prad,koi_insol,koi_teq,koi_duration,koi_depth,koi_steff,koi_srad,koi_slogg,ra,dec,koi_pdisposition
9.48803557,2.26,93.59,793.0,2.9575,615.8,5455.0,0.927,4.467,291.93423,48.141651,1
54.4183827,2.83,9.11,443.0,4.507,874.8,5455.0,0.927,4.467,291.93423,48.141651,1
19.89913995,14.6,39.3,638.0,1.7822,10829.0,5853.0,0.868,4.544,297.00482,48.134129,1
1.736952453,33.46,891.96,1395.0,2.40641,8079.2,5805.0,0.791,4.564,285.53461,48.28521,0
2.525591777,2.75,926.16,1406.0,1.6545,603.3,6031.0,1.046,4.438,288.75488,48.2262,1
11.09432054,3.9,114.81,835.0,4.5945,1517.5,6046.0,0.972,4.486,296.28613,48.22467,1
4.13443512,2.77,427.65,1160.0,3.1402,686.0,6046.0,0.972,4.486,296.28613,48.22467,1
2.56658897,1.59,807.74,1360.0,2.429,226.5,6046.0,0.972,4.486,296.28613,48.22467,1
7.36178958,39.21,767.22,1342.0,5.022,233.7,6227.0,1.958,3.986,298.86435,42.151569,0
16.06864674,5.76,30.75,600.0,3.5347,4914.3,5031.0,0.848,4.485,286.99948,48.37579,1
2.470613377,13.04,761.46,1339.0,1.74319,14231.0,5820.0,0.964,4.457,286.80847,49.316399,1
2.204735417,16.1,4148.92,2048.0,3.88864,6674.7,6440.0,1.952,4.019,292.24728,47.969521,1
3.522498429,14.59,1264.67,1521.0,3.19843,9145.7,6225.0,1.451,4.169,281.28812,42.45108,1
3.709214104,1.16,500.46,1206.0,2.6302,131.1,5833.0,1.022,4.407,295.64871,48.49556,1
11.521446064,150.51,75.88,753.0,3.6399,17984.0,5795.0,0.848,4.554,297.07993,47.597401,0
19.40393776,7.18,17.69,523.0,12.2155,8918.7,5043.0,0.68,4.591,289.25821,47.635319,0
19.221388942,49.29,55.97,698.0,4.79843,74284.0,6117.0,0.947,4.496,295.81454,47.69035,0
16.46983774,7.94,29.61,595.0,9.4378,10479.0,5152.0,0.786,4.517,297.15442,47.668701,0
9.27358173,2.47,41.85,649.0,3.2875,1288.3,4856.0,0.696,4.583,288.13824,47.724449,1
6.02930329,2.85,50.04,678.0,1.5821,1912.7,4537.0,0.672,4.648,283.71088,47.86327,1
2.696370652,1.58,305.34,1066.0,3.6129,397.9,4989.0,0.819,4.504,283.76547,47.804298,0
5.349553819,2.55,168.99,919.0,3.0278,831.0,5185.0,0.91,4.44,292.37613,47.880989,1
3.94105221,1.7,253.15,1018.0,2.5984,363.3,5185.0,0.91,4.44,292.37613,47.880989,1
8.10904807,1.3,97.03,800.0,3.596,217.4,5185.0,0.91,4.44,292.37613,47.880989,1
386.6030528,41.5,1.84,297.0,6.8057,24927.0,5543.0,1.58,4.081,292.27374,37.671558,0
21.67699193,2.95,18.64,530.0,3.4555,857.2,4954.0,0.828,4.5,290.46512,47.92918,1
4.99677968,2.78,166.95,917.0,2.1717,934.7,5339.0,0.847,4.552,297.80826,47.946671,1
4.280963604,2.3,247.87,1012.0,2.875,750.8,5644.0,0.831,4.564,294.26581,49.314091,1
1.50635409,4.53,1054.12,1452.0,1.5155,2211.7,5714.0,0.831,4.563,295.66522,49.351009,0
670.645531,14.14,0.35,196.0,53.412,18091.0,5520.0,0.983,4.466,296.69861,49.316479,0
61.2563628,39.87,15.43,505.0,7.633,5123.3,6144.0,1.091,4.402,283.72592,49.479519,0
38.3775486,2.82,18.53,529.0,5.588,724.2,5481.0,1.036,4.369,291.72202,49.480869,1
41.19725502,3.86,8.76,439.0,4.6297,2213.9,5031.0,0.848,4.485,286.99948,48.37579,1
6.252962249,2.65,108.3,823.0,2.5819,1036.9,5031.0,0.848,4.485,286.99948,48.37579,1
16.01308419,3.1,29.31,593.0,3.2554,1121.9,5015.0,0.826,4.499,297.02563,48.478588,1
32.62876672,3.36,15.55,506.0,4.7971,1804.8,5586.0,0.798,4.56,285.71854,48.505859,1
91.7732862,2.12,3.92,359.0,6.473,652.0,5586.0,0.798,4.56,285.71854,48.505859,1
4.959319244,12.21,349.4,1103.0,2.22739,9802.0,5712.0,1.082,4.359,292.16705,48.727589,1
2.701287801,6.54,527.81,1222.0,3.3827,860.4,5550.0,0.91,4.468,297.92365,48.777321,0
4.49876511,2.1,389.62,1133.0,3.7362,460.0,6075.0,0.969,4.486,298.45685,48.791592,1
19.651209505,12.42,67.03,730.0,5.2514,11766.0,6074.0,1.063,4.391,291.0939,48.933842,0
5.412203927,2.94,337.68,1093.0,2.9472,601.6,5779.0,1.087,4.339,287.88733,46.276241,1
41.43958662,5.5,16.72,516.0,10.5989,2793.1,5468.0,1.046,4.367,295.55505,49.017342,1
8.35389523,2.52,91.9,790.0,2.2514,1041.6,5592.0,0.787,4.582,285.49924,49.277351,1
4.125543472,4.43,565.35,1243.0,3.1744,1487.3,6174.0,1.103,4.417,291.93616,49.253979,1
2.816504904,12.21,521.13,1219.0,2.50587,16814.0,5532.0,0.955,4.452,297.01547,49.225288,1
33.93373447,7.34,8.11,430.0,14.561,8503.7,5040.0,0.705,4.628,284.17233,49.360722,0
3.689920099,1.89,408.99,1147.0,2.6557,426.7,5880.0,0.917,4.518,291.62241,50.61824,1
4.431238488,3.25,351.23,1104.0,3.15,1010.9,5714.0,1.015,4.428,295.81616,51.121738,1
11.37936986,3.95,99.68,806.0,2.6255,1023.5,5714.0,1.015,4.428,295.81616,51.121738,1
26.39432897,3.07,13.49,489.0,3.573,1510.9,5129.0,0.763,4.595,289.39972,51.25032,1
13.57078281,2.64,89.61,785.0,3.3539,511.7,5854.0,1.012,4.406,300.86398,44.337551,1
7.12594387,1.79,233.31,997.0,3.0014,192.4,5779.0,1.087,4.339,287.88733,46.276241,1
7.442652004,15.03,206.78,967.0,2.3078,24446.0,6108.0,0.956,4.469,288.98682,49.733742,0
16.38489988,2.0,8.35,433.0,3.0249,1127.1,4126.0,0.615,4.661,286.73804,49.97575,1
7.8774163,2.16,22.18,553.0,2.0805,1306.1,4126.0,0.615,4.661,286.73804,49.97575,1
36.4454001,1.99,2.88,332.0,4.007,1122.3,4126.0,0.615,4.661,286.73804,49.97575,1
3.728732147,6.02,258.34,1023.0,2.683,5226.5,5497.0,0.809,4.577,290.78574,50.054119,1
40.4195037,7.51,11.29,467.0,3.362,6256.0,5446.0,0.781,4.507,294.31686,50.080231,1
2.243380573,1.99,107.6,822.0,1.1196,821.7,4149.0,0.564,4.698,285.17621,50.149818,1
10.405998015,11.23,113.94,833.0,6.5036,14489.0,5746.0,0.924,4.393,289.23553,50.241001,0
2.337437946,2.34,311.16,1070.0,1.9982,971.2,5005.0,0.765,4.595,293.83331,50.23035,1
7.2406612,19.45,68.63,734.0,0.558,556.4,5005.0,0.765,4.595,293.83331,50.23035,1
3.43591631,0.55,617.61,1272.0,3.133,23.2,5779.0,1.087,4.339,287.88733,46.276241,1
11.59822233,2.65,5.82,396.0,2.5237,2804.5,3688.0,0.473,4.79,296.22195,50.28722,1
6.575315881,5.31,251.38,1015.0,4.3084,2793.3,5992.0,0.989,4.415,290.09805,50.321609,1
7.275040844,4.86,113.64,833.0,7.5377,3001.0,5485.0,0.867,4.556,295.45529,50.49456,1
19.27153892,1.93,5.66,393.0,2.7594,1219.8,4077.0,0.56,4.702,293.97336,50.53191,1
10.06524317,1.91,13.43,488.0,1.369,1053.3,4077.0,0.56,4.702,293.97336,50.53191,1
12.3935651,2.66,49.68,677.0,3.8896,916.6,5557.0,0.75,4.603,296.02133,50.56778,1
43.84439721,2.87,18.77,531.0,6.802,615.2,5854.0,1.012,4.406,300.86398,44.337551,1
